book,chapter,verse,flags,priority
MAT,21,7,TRANSLATION,normal
MAT,21,9,TRANSLATION,normal
MAT,21,16,TRANSLATION,normal
MAT,21,24,TRANSLATION,normal
MAT,21,28,TRANSLATION,normal
MAT,21,29,TRANSLATION,normal
MAT,21,31,TRANSLATION,normal
MAT,21,42,TRANSLATION,normal
MAT,21,43,TRANSLATION,normal
MAT,22,2,TRANSLATION,normal
MAT,22,6,TRANSLATION,normal
MAT,22,12,TRANSLATION,normal
MAT,22,14,TRANSLATION,normal
MAT,22,15,TRANSLATION,normal
MAT,22,19,TRANSLATION,normal
MAT,22,28,TRANSLATION,normal
MAT,22,38,TRANSLATION,normal
MAT,22,43,TRANSLATION,normal
MAT,23,2,TRANSLATION,normal
MAT,23,3,TRANSLATION,normal
MAT,23,6,TRANSLATION,normal
MAT,23,7,TRANSLATION,normal
MAT,23,15,TRANSLATION,normal
MAT,23,22,TRANSLATION,normal
MAT,23,23,TRANSLATION,normal
MAT,23,26,TRANSLATION,normal
MAT,23,32,TRANSLATION,normal
MAT,23,35,TRANSLATION,normal
MAT,23,39,TRANSLATION,normal
MAT,24,7,TRANSLATION,normal
MAT,24,8,TRANSLATION,normal
MAT,24,15,TRANSLATION,normal
MAT,24,16,TRANSLATION,normal
MAT,24,17,TRANSLATION,normal
MAT,24,18,TRANSLATION,normal
MAT,24,23,TRANSLATION,normal
MAT,24,31,TRANSLATION,normal
MAT,24,38,TRANSLATION,normal
MAT,24,40,TRANSLATION,normal
MAT,24,41,TRANSLATION,normal
MAT,24,43,TRANSLATION,normal
MAT,24,45,TRANSLATION,normal
MAT,24,46,TRANSLATION,normal
MAT,24,47,TRANSLATION,normal
MAT,24,48,TRANSLATION,normal
MAT,24,49,TRANSLATION,normal
MAT,25,1,TRANSLATION,normal
MAT,25,9,TRANSLATION,normal
MAT,25,10,TRANSLATION,normal
MAT,25,16,TRANSLATION,normal
MAT,25,17,TRANSLATION,normal
MAT,25,29,TRANSLATION,normal
MAT,25,33,TRANSLATION,normal
MAT,25,37,TRANSLATION,normal
MAT,25,38,TRANSLATION,normal
MAT,25,39,TRANSLATION,normal
MAT,26,6,TRANSLATION,normal
MAT,26,7,TRANSLATION,normal
MAT,26,9,TRANSLATION,normal
MAT,26,11,TRANSLATION,normal
MAT,26,13,TRANSLATION,normal
MAT,26,15,TRANSLATION,normal
MAT,26,16,TRANSLATION,normal
MAT,26,17,TRANSLATION,normal
MAT,26,18,TRANSLATION,normal
MAT,26,20,TRANSLATION,normal
MAT,26,22,TRANSLATION,normal
MAT,26,27,TRANSLATION,normal
MAT,26,29,TRANSLATION,normal
MAT,26,36,TRANSLATION,normal
MAT,26,44,TRANSLATION,normal
MAT,26,45,TRANSLATION,normal
MAT,26,50,TRANSLATION,normal
MAT,26,51,TRANSLATION,normal
MAT,26,53,TRANSLATION,normal
MAT,26,55,TRANSLATION,normal
MAT,26,66,TRANSLATION,normal
MAT,26,67,TRANSLATION,normal
MAT,27,4,TRANSLATION,normal
MAT,27,6,TRANSLATION,normal
MAT,27,7,TRANSLATION,normal
MAT,27,11,TRANSLATION,normal
MAT,27,19,TRANSLATION,normal
MAT,27,20,TRANSLATION,normal
MAT,27,25,TRANSLATION,normal
MAT,27,26,TRANSLATION,normal
MAT,27,29,TRANSLATION,normal
MAT,27,30,TRANSLATION,normal
MAT,27,41,TRANSLATION,normal
MAT,27,43,TRANSLATION,normal
MAT,27,47,TRANSLATION,normal
MAT,27,48,TRANSLATION,normal
MAT,27,50,TRANSLATION,normal
MAT,27,59,TRANSLATION,normal
MAT,27,63,TRANSLATION,normal
MAT,28,3,TRANSLATION,normal
MAT,28,12,TRANSLATION,normal
MAT,28,13,TRANSLATION,normal
MAT,28,15,TRANSLATION,normal
MAT,28,16,TRANSLATION,normal
MAT,28,19,TRANSLATION,normal
MAT,28,20,TRANSLATION,normal
MRK,1,3,TRANSLATION,normal
MRK,1,5,TRANSLATION,normal
MRK,1,9,TRANSLATION,normal
MRK,1,11,TRANSLATION,normal
MRK,1,13,TRANSLATION,normal
MRK,1,23,TRANSLATION,normal
MRK,1,25,TRANSLATION,normal
MRK,1,26,TRANSLATION,normal
MRK,1,35,TRANSLATION,normal
MRK,1,38,TRANSLATION,normal
MRK,1,42,TRANSLATION,normal
MRK,1,43,TRANSLATION,normal
MRK,2,12,TRANSLATION,normal
MRK,2,19,TRANSLATION,normal
MRK,2,21,TRANSLATION,normal
MRK,2,25,TRANSLATION,normal
MRK,2,28,TRANSLATION,normal
MRK,3,3,TRANSLATION,normal
MRK,3,10,TRANSLATION,normal
MRK,3,11,TRANSLATION,normal
MRK,3,12,TRANSLATION,normal
MRK,3,22,TRANSLATION,normal
MRK,3,23,TRANSLATION,normal
MRK,3,27,TRANSLATION,normal
MRK,3,30,TRANSLATION,normal
MRK,3,33,TRANSLATION,normal
MRK,4,5,TRANSLATION,normal
MRK,4,6,TRANSLATION,normal
MRK,4,7,TRANSLATION,normal
MRK,4,8,TRANSLATION,normal
MRK,4,12,TRANSLATION,normal
MRK,4,14,TRANSLATION,normal
MRK,4,15,TRANSLATION,normal
MRK,4,18,TRANSLATION,normal
MRK,4,20,TRANSLATION,normal
MRK,4,21,TRANSLATION,normal
MRK,4,24,TRANSLATION,normal
MRK,4,25,TRANSLATION,normal
MRK,4,26,TRANSLATION,normal
MRK,4,34,TRANSLATION,normal
MRK,5,1,TRANSLATION,normal
MRK,5,4,TRANSLATION,normal
MRK,5,6,TRANSLATION,normal
MRK,5,7,TRANSLATION,normal
MRK,5,9,TRANSLATION,normal
MRK,5,15,TRANSLATION,normal
MRK,5,18,TRANSLATION,normal
MRK,5,21,TRANSLATION,normal
MRK,5,24,TRANSLATION,normal
MRK,5,28,TRANSLATION,normal
MRK,5,34,TRANSLATION,normal
MRK,5,35,TRANSLATION,normal
MRK,5,40,TRANSLATION,normal
MRK,5,43,TRANSLATION,normal
MRK,6,4,TRANSLATION,normal
MRK,6,8,TRANSLATION,normal
MRK,6,19,TRANSLATION,normal
MRK,6,23,TRANSLATION,normal
MRK,6,24,TRANSLATION,normal
MRK,6,29,TRANSLATION,normal
MRK,6,33,TRANSLATION,normal
MRK,6,36,TRANSLATION,normal
MRK,6,37,TRANSLATION,normal
MRK,6,38,TRANSLATION,normal
MRK,6,39,TRANSLATION,normal
MRK,6,44,TRANSLATION,normal
MRK,6,45,TRANSLATION,normal
MRK,6,48,TRANSLATION,normal
MRK,6,49,TRANSLATION,normal
MRK,6,52,TRANSLATION,normal
MRK,6,55,TRANSLATION,normal
MRK,7,3,TRANSLATION,normal
MRK,7,4,TRANSLATION,normal
MRK,7,7,TRANSLATION,normal
MRK,7,8,TRANSLATION,normal
MRK,7,10,TRANSLATION,normal
MRK,7,11,TRANSLATION,normal
MRK,7,15,TRANSLATION,normal
MRK,7,18,TRANSLATION,normal
MRK,7,19,TRANSLATION,normal
MRK,7,23,TRANSLATION,normal
MRK,7,36,TRANSLATION,normal
MRK,8,1,TRANSLATION,normal
MRK,8,2,TRANSLATION,normal
MRK,8,9,TRANSLATION,normal
MRK,8,12,TRANSLATION,normal
MRK,8,15,TRANSLATION,normal
MRK,8,17,TRANSLATION,normal
MRK,8,18,TRANSLATION,normal
MRK,8,20,TRANSLATION,normal
MRK,8,21,TRANSLATION,normal
MRK,8,24,TRANSLATION,normal
MRK,8,28,TRANSLATION,normal
MRK,8,32,TRANSLATION,normal
MRK,8,35,TRANSLATION,normal
MRK,9,11,TRANSLATION,normal
MRK,9,15,TRANSLATION,normal
MRK,9,28,TRANSLATION,normal
MRK,9,31,TRANSLATION,normal
MRK,9,39,TRANSLATION,normal
MRK,9,40,TRANSLATION,normal
MRK,9,44,TRANSLATION,normal
MRK,9,46,TRANSLATION,normal
MRK,9,48,TRANSLATION,normal
MRK,9,49,TRANSLATION,normal
MRK,10,3,TRANSLATION,normal
MRK,10,4,TRANSLATION,normal
MRK,10,9,TRANSLATION,normal
MRK,10,10,TRANSLATION,normal
MRK,10,23,TRANSLATION,normal
MRK,10,24,TRANSLATION,normal
MRK,10,25,TRANSLATION,normal
MRK,10,32,TRANSLATION,normal
MRK,10,34,TRANSLATION,normal
MRK,10,35,TRANSLATION,normal
MRK,10,37,TRANSLATION,normal
MRK,10,38,TRANSLATION,normal
MRK,10,39,TRANSLATION,normal
MRK,10,49,TRANSLATION,normal
MRK,10,52,TRANSLATION,normal
MRK,11,2,TRANSLATION,normal
MRK,11,3,TRANSLATION,normal
MRK,11,6,TRANSLATION,normal
MRK,11,10,TRANSLATION,normal
MRK,11,15,TRANSLATION,normal
MRK,11,16,TRANSLATION,normal
MRK,11,21,TRANSLATION,normal
MRK,11,23,TRANSLATION,normal
MRK,11,25,TRANSLATION,normal
MRK,11,29,TRANSLATION,normal
MRK,11,32,TRANSLATION,normal
MRK,12,5,TRANSLATION,normal
MRK,12,6,TRANSLATION,normal
MRK,12,9,TRANSLATION,normal
MRK,12,15,TRANSLATION,normal
MRK,12,19,TRANSLATION,normal
MRK,12,22,TRANSLATION,normal
MRK,12,23,TRANSLATION,normal
MRK,12,24,TRANSLATION,normal
MRK,12,29,TRANSLATION,normal
MRK,12,33,TRANSLATION,normal
MRK,12,35,TRANSLATION,normal
MRK,12,37,TRANSLATION,normal
MRK,12,42,TRANSLATION,normal
MRK,13,1,TRANSLATION,normal
MRK,13,2,TRANSLATION,normal
MRK,13,9,TRANSLATION,normal
MRK,13,12,TRANSLATION,normal
MRK,13,14,TRANSLATION,normal
MRK,13,16,TRANSLATION,normal
MRK,13,30,TRANSLATION,normal
MRK,13,34,TRANSLATION,normal
MRK,13,35,TRANSLATION,normal
MRK,13,36,TRANSLATION,normal
MRK,14,1,TRANSLATION,normal
MRK,14,2,TRANSLATION,normal
MRK,14,3,TRANSLATION,normal
MRK,14,4,TRANSLATION,normal
MRK,14,5,TRANSLATION,normal
MRK,14,7,TRANSLATION,normal
MRK,14,8,TRANSLATION,normal
MRK,14,10,TRANSLATION,normal
MRK,14,11,TRANSLATION,normal
MRK,14,12,TRANSLATION,normal
MRK,14,15,TRANSLATION,normal
