decision,category,strongs,canonical_label,goi_form,kjv_form,webus_form,occurrence_count,unique_target_count,sample_refs,review_note
active_review,person_or_place,G955,Belíal,Beliar,Belial,Belial,1,1,2CO 6:15,
active_review,person_or_place,H1081,Balʼădân,baladan,Baladan,Baladan,1,1,2KI 20:12,
active_review,person_or_place,H1109,Bilʻâm,Balaam,Bileam,Bileam,1,1,1CH 6:55,
active_review,person_or_place,H1144,Binyâmîyn,Benjaminite,Benjamin,Benjamin,1,1,1SA 9:1,
active_review,person_or_place,H1144,Binyâmîyn,Benjaminites,Benjamin,Benjamin,1,1,JDG 21:13,
active_review,person_or_place,H1168,Baʻal,Baalim,Baal,Baal,1,1,1KI 22:54,
active_review,divine_name_or_title,H136,ʼĂdônây,Lord,O LORD,LORD,1,1,2SA 7:22,
active_review,divine_name_or_title,H136,ʼĂdônây,O Lord,O LORD,LORD,1,1,PSA 35:22,
active_review,person_or_place,H1471,gôwy,nations,Gentiles,Gentiles,1,1,JDG 4:13,
active_review,person_or_place,H1599,Ginnᵉthôwn,Ginnetho,Ginnethon,Ginnethon,1,1,NEH 12:16,
active_review,person_or_place,H1648,Gêrᵉshôwn,Gershonites,Gershon,Gershon,1,1,NUM 4:22,
active_review,person_or_place,H1654,Geshem,Geshem,Gashmu,Gashmu,1,1,NEH 6:6,
active_review,person_or_place,H1789,Dîyshân,Dishan,Dishon,Dishon,1,1,GEN 36:26,
active_review,person_or_place,H2128,Zîyph,Ziphites,Ziph,Ziph,1,1,1SA 23:24,
active_review,person_or_place,H2286,Chăgâbâʼ,Hagabah,Hagaba,Hagaba,1,1,NEH 7:48,
active_review,person_or_place,H2349,Chûwphâm,Huphamite,Hupham,Hupham,1,1,NUM 26:39,
