side,reference,book,chapter,verse,category,note
WLC_ONLY,PSA 57:12,PSA,57,12,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 58:12,PSA,58,12,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 59:18,PSA,59,18,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 60:13,PSA,60,13,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 60:14,PSA,60,14,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 61:9,PSA,61,9,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 62:13,PSA,62,13,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 63:12,PSA,63,12,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 64:11,PSA,64,11,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 65:14,PSA,65,14,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 67:8,PSA,67,8,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 68:36,PSA,68,36,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 69:37,PSA,69,37,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 70:6,PSA,70,6,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 75:11,PSA,75,11,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 76:13,PSA,76,13,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 77:21,PSA,77,21,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 80:20,PSA,80,20,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 81:17,PSA,81,17,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
WLC_ONLY,PSA 83:19,PSA,83,19,PSALM_SUPERSCRIPTION_OR_OFFSET,Likely KJV-vs-WLC Psalm title/superscription offset; not extra content.
